"","x"
"K05261","parathyroid hormone"
"K05262","adenylate cyclase activating polypeptide"
"K05263","secretin"
"K05264","vasoactive intestinal peptide"
"K05265","motilin"
"K05266","motilin receptor"
"K05267","preproneuropeptide B"
"K05268","neuropeptides B/W receptor 1"
"K05269","Prolactin-releasing peptide"
"K05274","potassium large conductance calcium-activated channel subfamily M alpha member 3"
"K05275","pyridoxine 4-dehydrogenase [EC:1.1.1.65]"
"K05277","leucoanthocyanidin dioxygenase [EC:1.14.11.19]"
"K05278","flavonol synthase [EC:1.14.11.23]"
"K05279","flavonol 3-O-methyltransferase [EC:2.1.1.76]"
"K05280","flavonoid 3'-monooxygenase [EC:1.14.13.21]"
"K05281","2'-hydroxyisoflavone reductase [EC:1.3.1.45]"
"K05282","gibberellin 20-oxidase [EC:1.14.11.12]"
"K05283","phosphatidylinositol glycan, class W [EC:2.3.-.-]"
"K05284","phosphatidylinositol glycan, class M [EC:2.4.1.-]"
"K05285","phosphatidylinositol glycan, class N [EC:2.7.-.-]"
"K05286","phosphatidylinositol glycan, class B [EC:2.4.1.-]"
"K05287","phosphatidylinositol glycan, class F [EC:2.7.-.-]"
"K05288","phosphatidylinositol glycan, class O"
"K05289","glycosylphosphatidylinositol transamidase"
"K05290","phosphatidylinositol glycan, class K [EC:2.6.-.-]"
"K05291","phosphatidylinositol glycan, class S"
"K05292","phosphatidylinositol glycan, class T"
"K05293","phosphatidylinositol glycan, class U"
"K05294","glycosylphosphatidylinositol deacylase [EC:3.-.-.-]"
"K05295","20alpha-hydroxysteroid dehydrogenase [EC:1.1.1.149]"
"K05296","3(or 17)beta-hydroxysteroid dehydrogenase [EC:1.1.1.51]"
"K05297","rubredoxin-NAD+ reductase [EC:1.18.1.1]"
"K05298","glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]"
"K05299","formate dehydrogenase alpha subunit [EC:1.2.1.43]"
"K05301","sulfite dehydrogenase [EC:1.8.2.1]"
"K05304","sialic acid synthase [EC:2.5.1.56 2.5.1.57 2.5.1.132]"
"K05305","fucokinase [EC:2.7.1.52]"
"K05306","phosphonoacetaldehyde hydrolase [EC:3.11.1.1]"
"K05307","thiamine-triphosphatase [EC:3.6.1.28]"
"K05308","gluconate/galactonate dehydratase [EC:4.2.1.140]"
"K05309","microsomal prostaglandin-E synthase 2 [EC:5.3.99.3]"
"K05310","ethanolaminephosphotransferase [EC:2.7.-.-]"
"K05334","solute carrier family 6 (neurotransmitter transporter) member 19"
"K05338","holin-like protein"
"K05339","holin-like protein LrgB"
"K05341","amylosucrase [EC:2.4.1.4]"
"K05342","alpha,alpha-trehalose phosphorylase [EC:2.4.1.64]"
"K05343","maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]"
"K05349","beta-glucosidase [EC:3.2.1.21]"
"K05350","beta-glucosidase [EC:3.2.1.21]"
"K05351","D-xylulose reductase [EC:1.1.1.9]"
"K05352","ribitol-5-phosphate 2-dehydrogenase [EC:1.1.1.137]"
"K05353","putrescine N-methyltransferase [EC:2.1.1.53]"
"K05354","tropinone reductase II [EC:1.1.1.236]"
"K05355","hexaprenyl-diphosphate synthase [EC:2.5.1.82 2.5.1.83]"
"K05356","all-trans-nonaprenyl-diphosphate synthase [EC:2.5.1.84 2.5.1.85]"
"K05357","vitamin-K-epoxide reductase (warfarin-sensitive) [EC:1.17.4.4]"
"K05358","quinate dehydrogenase (quinone) [EC:1.1.5.8]"
"K05359","arogenate/prephenate dehydratase [EC:4.2.1.91 4.2.1.51]"
"K05360","protein-disulfide reductase (glutathione) [EC:1.8.4.2]"
"K05361","phospholipid-hydroperoxide glutathione peroxidase [EC:1.11.1.12]"
"K05362","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7]"
"K05363","serine/alanine adding enzyme [EC:2.3.2.10]"
"K05364","peptidoglycan glycosyltransferase [EC:2.4.1.129]"
"K05365","penicillin-binding protein 1B [EC:2.4.1.129 3.4.-.-]"
"K05366","penicillin-binding protein 1A [EC:2.4.1.- 3.4.-.-]"
"K05367","penicillin-binding protein 1C [EC:2.4.1.-]"
"K05368","aquacobalamin reductase / NAD(P)H-flavin reductase [EC:1.16.1.3 1.5.1.41]"
"K05369","15,16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]"
"K05370","phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]"
"K05371","phycocyanobilin:ferredoxin oxidoreductase [EC:1.3.7.5]"
"K05375","MbtH protein"
"K05376","phycoerythrin alpha chain"
"K05377","phycoerythrin beta chain"
"K05378","phycoerythrin-associated linker protein"
"K05379","phycoerythrin-associated linker protein"
"K05380","phycoerythrin-associated linker protein"
"K05381","phycoerythrin-associated linker protein"
"K05382","phycoerythrin-associated linker protein"
"K05383","CpeT protein"
"K05384","bilin biosynthesis protein"
"K05385","bilin biosynthesis protein"
"K05386","bilin biosynthesis protein"
"K05391","cyclic nucleotide gated channel, other eukaryote"
"K05394","atrazine chlorohydrolase [EC:3.8.1.8]"
"K05396","D-cysteine desulfhydrase [EC:4.4.1.15]"
"K05398","toll-like receptor 1"
"K05399","lipopolysaccharide-binding protein"
"K05400","lymphocyte antigen 96"
"K05401","toll-like receptor 3"
"K05402","toll-interacting protein"
"K05403","toll-interleukin 1 receptor (TIR) domain-containing adaptor protein"
"K05404","toll-like receptor 7"
"K05405","interleukin 6"
"K05406","interleukin 12A"
"K05407","platelet factor 4"
"K05408","C-C motif chemokine 3"
"K05409","TRIF-related adaptor molecule"
"K05410","TANK-binding kinase 1 [EC:2.7.11.10]"
"K05411","interferon regulatory factor 3"
"K05412","CD80 antigen"
"K05413","CD86 antigen"
"K05414","interferon alpha"
"K05415","interferon beta"
"K05416","C-X-C motif chemokine 9"
"K05417","interleukin 11"
"K05418","oncostatin M"
"K05419","leukemia inhibitory factor"
"K05420","ciliary neurotrophic factor"
"K05421","B-cell stimulating factor 3"
"K05422","cardiotrophin 1"
"K05423","granulocyte colony-stimulating factor"
"K05424","leptin"
"K05425","interleukin 12B"
"K05426","interleukin 23, alpha subunit p19"
"K05427","granulocyte-macrophage colony-stimulating factor"
"K05428","interleukin 5"
"K05429","interleukin 2"
"K05430","interleukin 4"
"K05431","interleukin 7"
"K05432","interleukin 9"
"K05433","interleukin 15"
"K05434","interleukin 21"
"K05435","interleukin 13"
"K05436","thymic stromal lymphopoietin"
"K05437","erythropoietin"
"K05438","growth hormone"
"K05439","prolactin"
"K05440","interferon omega"
"K05441","interferon kappa"
"K05442","interferon epsilon"
"K05443","interleukin 10"
"K05444","interleukin 19/20/24"
"K05445","interleukin 22"
"K05446","interleukin 26"
"K05447","interleukin 28/29 (interferon lambda)"
"K05448","vascular endothelial growth factor A"
"K05449","vascular endothelial growth factor C/D"
"K05450","platelet derived growth factor C/D"
"K05451","nerve growth factor, alpha"
"K05453","macrophage colony-stimulating factor 1"
"K05454","fms-related tyrosine kinase 3 ligand"
"K05455","neuregulin 1"
"K05456","neuregulin 2"
"K05457","neuregulin 3"
"K05458","neuregulin 4"
"K05459","insulin-like growth factor 1"
"K05460","hepatocyte growth factor"
"K05461","KIT ligand"
"K05462","ephrin-A"
"K05463","ephrin-B"
"K05464","growth arrest-specific 6"
"K05465","angiopoietin 1"
"K05466","angiopoietin 2"
"K05467","angiopoietin 4"
"K05468","lymphotoxin alpha (TNF superfamily, member 1)"
"K05469","tumor necrosis factor ligand superfamily member 4"
"K05470","tumor necrosis factor ligand superfamily member 7"
"K05471","tumor necrosis factor ligand superfamily member 8"
"K05472","tumor necrosis factor ligand superfamily member 9"
"K05473","tumor necrosis factor ligand superfamily member 11"
"K05474","tumor necrosis factor ligand superfamily member 12"
"K05475","tumor necrosis factor ligand superfamily member 13"
"K05476","tumor necrosis factor ligand superfamily member 13B"
"K05477","tumor necrosis factor ligand superfamily member 14"
"K05478","tumor necrosis factor ligand superfamily member 15"
"K05479","tumor necrosis factor ligand superfamily member 18"
"K05480","ectodysplasin-A"
"K05482","interleukin 18"
"K05489","interleukin 17A"
"K05490","interleukin 17B"
"K05491","interleukin 17C"
"K05492","interleukin 17D"
"K05493","interleukin 17E"
"K05494","interleukin 17F"
"K05498","growth differentiation factor 9/9B"
"K05505","C-X-C motif chemokine 1/2/3"
"K05506","C-X-C motif chemokine 5/6"
"K05507","C motif chemokine 1/2"
"K05508","C-X3-C motif chemokine 1"
"K05509","C-C motif chemokine 7"
"K05510","C-C motif chemokine 6/9"
"K05511","C-C motif chemokine 15/23"
"K05512","C-C motif chemokine 19"
"K05513","C-C motif chemokine 28"
"K05514","C-C motif chemokine 1"
"K05515","penicillin-binding protein 2"
"K05522","endonuclease VIII [EC:3.2.2.- 4.2.99.18]"
"K05523","molecular chaperone Hsp31 and glyoxalase 3 [EC:4.2.1.130]"
"K05525","linalool 8-monooxygenase [EC:1.14.13.151]"
"K05526","succinylglutamate desuccinylase [EC:3.5.1.96]"
"K05528","alpha 1,6-mannosyltransferase [EC:2.4.1.232]"
"K05529","mannan polymerase complexes MNN9 subunit [EC:2.4.1.232]"
"K05530","mannan polymerase I complex VAN1 subunit [EC:2.4.1.-]"
"K05531","mannan polymerase II complex MNN10 subunit [EC:2.4.1.-]"
"K05532","mannan polymerase II complex MNN11 subunit [EC:2.4.1.-]"
"K05533","mannan polymerase II complex ANP1 subunit [EC:2.4.1.-]"
"K05534","mannan polymerase II complex HOC1 subunit [EC:2.4.1.-]"
"K05535","alpha 1,2-mannosyltransferase [EC:2.4.1.-]"
"K05536","alpha 1,2-mannosyltransferase [EC:2.4.1.-]"
"K05537","mannosylphosphate transferase [EC:2.7.8.-]"
"K05538","alpha 1,3-mannosyltransferase [EC:2.4.1.-]"
"K05546","alpha 1,3-glucosidase [EC:3.2.1.84]"
"K05547","thyroid hormone receptor alpha"
"K05549","benzoate/toluate 1,2-dioxygenase subunit alpha [EC:1.14.12.10 1.14.12.-]"
"K05550","benzoate/toluate 1,2-dioxygenase subunit beta [EC:1.14.12.10 1.14.12.-]"
"K05551","minimal PKS ketosynthase (KS/KS alpha) [EC:2.3.1.- 2.3.1.260 2.3.1.235]"
"K05552","minimal PKS chain-length factor (CLF/KS beta) [EC:2.3.1.- 2.3.1.260 2.3.1.235]"
"K05553","minimal PKS acyl carrier protein"
"K05554","aromatase [EC:4.2.1.-]"
"K05555","cyclase [EC:4.-.-.-]"
"K05556","ketoreductase RED1 [EC:1.1.1.-]"
"K05572","NAD(P)H-quinone oxidoreductase subunit 1 [EC:1.6.5.3]"
"K05573","NAD(P)H-quinone oxidoreductase subunit 2 [EC:1.6.5.3]"
"K05574","NAD(P)H-quinone oxidoreductase subunit 3 [EC:1.6.5.3]"
"K05575","NAD(P)H-quinone oxidoreductase subunit 4 [EC:1.6.5.3]"
"K05576","NAD(P)H-quinone oxidoreductase subunit 4L [EC:1.6.5.3]"
"K05577","NAD(P)H-quinone oxidoreductase subunit 5 [EC:1.6.5.3]"
"K05578","NAD(P)H-quinone oxidoreductase subunit 6 [EC:1.6.5.3]"
"K05579","NAD(P)H-quinone oxidoreductase subunit H [EC:1.6.5.3]"
"K05580","NAD(P)H-quinone oxidoreductase subunit I [EC:1.6.5.3]"
"K05581","NAD(P)H-quinone oxidoreductase subunit J [EC:1.6.5.3]"
"K05582","NAD(P)H-quinone oxidoreductase subunit K [EC:1.6.5.3]"
"K05583","NAD(P)H-quinone oxidoreductase subunit L [EC:1.6.5.3]"
"K05584","NAD(P)H-quinone oxidoreductase subunit M [EC:1.6.5.3]"
"K05585","NAD(P)H-quinone oxidoreductase subunit N [EC:1.6.5.3]"
"K05586","bidirectional [NiFe] hydrogenase diaphorase subunit [EC:1.6.5.3]"
"K05587","bidirectional [NiFe] hydrogenase diaphorase subunit [EC:1.6.5.3]"
"K05588","bidirectional [NiFe] hydrogenase diaphorase subunit [EC:1.6.5.3]"
"K05592","ATP-dependent RNA helicase DeaD [EC:3.6.4.13]"
"K05597","glutamin-(asparagin-)ase [EC:3.5.1.38]"
"K05599","anthranilate 1,2-dioxygenase (deaminating, decarboxylating) large subunit [EC:1.14.12.1]"
"K05600","anthranilate 1,2-dioxygenase (deaminating, decarboxylating) small subunit [EC:1.14.12.1]"
"K05601","hydroxylamine reductase [EC:1.7.99.1]"
"K05602","histidinol-phosphatase [EC:3.1.3.15]"
"K05603","formimidoylglutamate deiminase [EC:3.5.3.13]"
"K05604","beta-Ala-His dipeptidase [EC:3.4.13.20]"
"K05605","3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]"
"K05606","methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]"
"K05607","methylglutaconyl-CoA hydratase [EC:4.2.1.18]"
"K05611","ubiquitin carboxyl-terminal hydrolase L1 [EC:3.4.19.12]"
"K05612","solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter), member 1"
"K05613","solute carrier family 1 (glial high affinity glutamate transporter), member 2"
"K05614","solute carrier family 1 (glial high affinity glutamate transporter), member 3"
"K05616","solute carrier family 1 (neutral amino acid transporter), member 5"
"K05617","solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6"
"K05618","solute carrier family 1 (glutamate transporter), member 7"
"K05625","transglutaminase 2 [EC:2.3.2.13]"
"K05627","BAI1-associated protein 2"
"K05628","arginine-glutamic acid dipeptide repeats protein"
"K05629","atrophin-1 interacting protein 1"
"K05630","atrophin-1 interacting protein 2 (WW domain containing E3 ubiquitin protein ligase 2) [EC:2.3.2.26]"
"K05631","atrophin-1 interacting protein 3 (BAI1-associated protein 1)"
"K05632","atrophin-1 interacting protein 4 [EC:2.3.2.26]"
"K05633","atrophin-1 interacting protein 5 (WW domain containing E3 ubiquitin protein ligase 1) [EC:2.3.2.26]"
"K05634","prion protein"
"K05635","laminin, gamma 1"
"K05636","laminin, beta 1"
"K05637","laminin, alpha 1/2"
"K05638","nuclear factor erythroid 2-related factor 2"
"K05640","glial fibrillary acidic protein"
"K05641","ATP-binding cassette, subfamily A (ABC1), member 1"
"K05642","ATP-binding cassette, subfamily A (ABC1), member 2"
"K05643","ATP-binding cassette, subfamily A (ABC1), member 3"
"K05644","ATP-binding cassette, subfamily A (ABC1), member 4"
"K05645","ATP-binding cassette, subfamily A (ABC1), member 7"
"K05646","ATP-binding cassette, subfamily A (ABC1), member 12"
"K05647","ATP binding cassette, subfamily A (ABC1), member 13"
"K05648","ATP-binding cassette, subfamily A (ABC1), member 5"
"K05649","ATP-binding cassette, subfamily A (ABC1), member 6"
"K05650","ATP-binding cassette, subfamily A (ABC1), member 8"
"K05651","ATP-binding cassette, subfamily A (ABC1), member 9"
"K05652","ATP-binding cassette, subfamily A (ABC1), member 10"
"K05653","ATP-binding cassette, subfamily B (MDR/TAP), member 2"
"K05654","ATP-binding cassette, subfamily B (MDR/TAP), member 3"
"K05655","ATP-binding cassette, subfamily B (MDR/TAP), member 8"
"K05656","ATP-binding cassette, subfamily B (MDR/TAP), member 9"
"K05657","ATP-binding cassette, subfamily B (MDR/TAP), member 10"
"K05658","ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:3.6.3.44]"
"K05659","ATP-binding cassette, subfamily B (MDR/TAP), member 4 [EC:3.6.3.44]"
"K05660","ATP-binding cassette, subfamily B (MDR/TAP), member 5"
"K05661","ATP-binding cassette, subfamily B (MDR/TAP), member 6"
"K05662","ATP-binding cassette, subfamily B (MDR/TAP), member 7"
"K05663","mitochondrial ABC transporter ATM"
"K05664","ATP-binding cassette, subfamily B (MDR/TAP), member 11"
"K05665","ATP-binding cassette, subfamily C (CFTR/MRP), member 1"
"K05666","ATP-binding cassette, subfamily C (CFTR/MRP), member 2"
"K05667","ATP-binding cassette, subfamily C (CFTR/MRP), member 3"
"K05668","ATP-binding cassette, subfamily C (CFTR/MRP), member 5"
"K05669","ATP-binding cassette, subfamily C (CFTR/MRP), member 6"
"K05670","ATP-binding cassette, subfamily C (CFTR/MRP), member 13"
"K05671","ATP-binding cassette, subfamily C (CFTR/MRP), member 11"
"K05672","ATP-binding cassette, subfamily C (CFTR/MRP), member 12"
"K05673","ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
"K05674","ATP-binding cassette, subfamily C (CFTR/MRP), member 10"
"K05675","ATP-binding cassette, subfamily D (ALD), member 1"
"K05676","ATP-binding cassette, subfamily D (ALD), member 2"
"K05677","ATP-binding cassette, subfamily D (ALD), member 3"
"K05678","ATP-binding cassette, subfamily D (ALD), member 4"
"K05679","ATP-binding cassette, subfamily G (WHITE), member 1"
"K05680","ATP-binding cassette, subfamily G (WHITE), member 4"
"K05681","ATP-binding cassette, subfamily G (WHITE), member 2"
"K05682","ATP-binding cassette, subfamily G (WHITE), member 3"
"K05683","ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)"
"K05684","ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)"
"K05685","macrolide transport system ATP-binding/permease protein [EC:3.6.3.-]"
"K05687","protein DJ-1"
"K05688","PTEN induced putative kinase 1 [EC:2.7.11.1]"
"K05689","cadherin 1, type 1, E-cadherin"
"K05690","catenin (cadherin-associated protein), delta 1"
"K05691","catenin alpha"
"K05692","actin beta/gamma 1"
"K05693","receptor-type tyrosine-protein phosphatase mu [EC:3.1.3.48]"
"K05694","receptor-type tyrosine-protein phosphatase beta [EC:3.1.3.48]"
"K05695","receptor-type tyrosine-protein phosphatase F [EC:3.1.3.48]"
"K05696","tyrosine-protein phosphatase non-receptor type 1 [EC:3.1.3.48]"
"K05697","tyrosine-protein phosphatase non-receptor type 6 [EC:3.1.3.48]"
"K05698","receptor-type tyrosine-protein phosphatase eta [EC:3.1.3.48]"
"K05699","actinin alpha 1/4"
"K05700","vinculin"
"K05701","tight junction protein 1"
"K05702","afadin"
"K05703","tyrosine-protein kinase Fyn [EC:2.7.10.2]"
"K05704","tyrosine-protein kinase Src [EC:2.7.10.2]"
"K05705","tyrosine-protein kinase Yes [EC:2.7.10.2]"
"K05706","snail 2"
"K05707","snail 1"
"K05708","3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha [EC:1.14.12.19]"
"K05709","3-phenylpropionate/trans-cinnamate dioxygenase subunit beta [EC:1.14.12.19]"
"K05710","3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component"
"K05711","2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87]"
"K05712","3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]"
"K05713","2,3-dihydroxyphenylpropionate 1,2-dioxygenase [EC:1.13.11.16]"
"K05714","2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [EC:3.7.1.14]"
"K05717","fibronectin 1"
"K05718","integrin alpha L"
"K05719","integrin beta 1"
"K05720","FYVE, RhoGEF and PH domain containing 1"
"K05722","FYVE, RhoGEF and PH domain containing 3"
"K05725","focal adhesion kinase 1 [EC:2.7.10.2]"
"K05726","breast cancer anti-estrogen resistance 1"
"K05728","c-src tyrosine kinase [EC:2.7.10.2]"
"K05729","Rho guanine nucleotide exchange factor 6"
"K05730","guanine nucleotide exchange factor VAV"
"K05731","T-lymphoma invasion and metastasis-inducing protein 1"
"K05732","glucocorticoid receptor DNA-binding factor 1"
"K05733","p21-activated kinase 3 [EC:2.7.11.1]"
"K05734","p21-activated kinase 4 [EC:2.7.11.1]"
"K05735","p21-activated kinase 6 [EC:2.7.11.1]"
"K05736","p21-activated kinase 7 [EC:2.7.11.1]"
"K05737","G protein-coupled receptor kinase interactor 1"
"K05740","diaphanous 1"
"K05741","diaphanous 2"
"K05742","solute carrier family 9 (sodium/hydrogen exchanger), member 1"
"K05743","LIM domain kinase 1 [EC:2.7.11.1]"
"K05744","LIM domain kinase 2 [EC:2.7.11.1]"
"K05745","diaphanous 3"
"K05746","enabled"
"K05747","Wiskott-Aldrich syndrome protein"
"K05748","WAS protein family, member 2"
"K05749","cytoplasmic FMR1 interacting protein"
"K05750","NCK-associated protein 1"
"K05751","abl interactor 2"
"K05752","chromosome 3 open reading frame 10"
"K05753","WAS protein family, member 1"
"K05754","actin related protein 2/3 complex, subunit 5"
"K05755","actin related protein 2/3 complex, subunit 4"
"K05756","actin related protein 2/3 complex, subunit 3"
"K05757","actin related protein 2/3 complex, subunit 1A/1B"
"K05758","actin related protein 2/3 complex, subunit 2"
"K05759","profilin"
"K05760","paxillin"
"K05762","radixin"
"K05763","moesin"
"K05764","thymosin, beta 4"
"K05765","cofilin"
"K05766","protein phosphatase slingshot [EC:3.1.3.16 3.1.3.48]"
"K05767","Ras GTPase-activating-like protein IQGAP2/3"
"K05768","gelsolin"
"K05769","Rho guanine nucleotide exchange factor 4/29"
"K05770","benzodiazapine receptor"
"K05771","glucocorticoid receptor"
"K05772","tungstate transport system substrate-binding protein"
"K05773","tungstate transport system permease protein"
"K05774","ribose 1,5-bisphosphokinase [EC:2.7.4.23]"
"K05776","molybdate transport system ATP-binding protein"
"K05780","alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]"
"K05783","dihydroxycyclohexadiene carboxylate dehydrogenase [EC:1.3.1.25 1.3.1.-]"
"K05784","benzoate/toluate 1,2-dioxygenase reductase component [EC:1.18.1.-]"
"K05797","4-cresol dehydrogenase (hydroxylating) flavoprotein subunit [EC:1.17.99.1]"
"K05813","sn-glycerol 3-phosphate transport system substrate-binding protein"
"K05814","sn-glycerol 3-phosphate transport system permease protein"
"K05815","sn-glycerol 3-phosphate transport system permease protein"
"K05816","sn-glycerol 3-phosphate transport system ATP-binding protein [EC:3.6.3.20]"
"K05821","aromatic amino acid aminotransferase II [EC:2.6.1.58 2.6.1.28]"
"K05822","tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89]"
"K05823","N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]"
"K05824","homoisocitrate dehydrogenase [EC:1.1.1.87]"
"K05825","2-aminoadipate transaminase [EC:2.6.1.-]"
"K05826","alpha-aminoadipate/glutamate carrier protein LysW"
"K05827","[lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase [EC:6.3.2.43]"
"K05828","LysW-gamma-L-alpha-aminoadipate/LysW-L-glutamate kinase [EC:2.7.2.-]"
"K05829","LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.-]"
"K05830","LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.-]"
"K05831","LysW-gamma-L-lysine/LysW-L-ornithine carboxypeptidase"
"K05840","dopamine receptor D5"
"K05842","toll-like receptor adapter molecule 1"
"K05845","osmoprotectant transport system substrate-binding protein"
"K05846","osmoprotectant transport system permease protein"
"K05847","osmoprotectant transport system ATP-binding protein"
"K05848","phytoceramidase [EC:3.5.1.-]"
"K05849","solute carrier family 8 (sodium/calcium exchanger)"
"K05850","Ca2+ transporting ATPase, plasma membrane [EC:3.6.3.8]"
"K05851","adenylate cyclase, class 1 [EC:4.6.1.1]"
"K05852","phospholamban"
"K05853","Ca2+ transporting ATPase, sarcoplasmic/endoplasmic reticulum [EC:3.6.3.8]"
"K05854","tyrosine-protein kinase Lyn [EC:2.7.10.2]"
"K05855","spleen tyrosine kinase [EC:2.7.10.2]"
"K05856","lymphocyte cell-specific protein tyrosine kinase [EC:2.7.10.2]"
"K05857","phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]"
"K05858","phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]"
"K05859","phosphatidylinositol phospholipase C, gamma-2 [EC:3.1.4.11]"
"K05860","phosphatidylinositol phospholipase C, epsilon [EC:3.1.4.11]"
"K05861","phosphatidylinositol phospholipase C, zeta [EC:3.1.4.11]"
"K05862","voltage-dependent anion channel protein 1"
"K05863","solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31"
"K05865","troponin C, slow skeletal and cardiac muscles"
"K05866","M-phase inducer phosphatase 2 [EC:3.1.3.48]"
"K05867","M-phase inducer phosphatase 3 [EC:3.1.3.48]"
"K05868","cyclin B"
"K05869","calcium/calmodulin-dependent protein kinase IV [EC:2.7.11.17]"
"K05870","cyclic AMP-responsive element-binding protein 1"
"K05871","focal adhesion kinase 2 [EC:2.7.10.2]"
"K05872","NF-kappa-B inhibitor epsilon"
"K05873","adenylate cyclase, class 2 [EC:4.6.1.1]"
"K05874","methyl-accepting chemotaxis protein I, serine sensor receptor"
"K05875","methyl-accepting chemotaxis protein II, aspartate sensor receptor"
"K05876","methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor"
"K05877","methyl-accepting chemotaxis protein IV, peptide sensor receptor"
"K05878","dihydroxyacetone kinase, N-terminal domain [EC:2.7.1.-]"
"K05879","dihydroxyacetone kinase, C-terminal domain [EC:2.7.1.-]"
"K05884","L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337]"
"K05887","quinate/shikimate dehydrogenase [EC:1.1.1.282]"
"K05894","12-oxophytodienoic acid reductase [EC:1.3.1.42]"
"K05895","precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]"
"K05898","3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]"
"K05901","biliverdin reductase / flavin reductase [EC:1.3.1.24 1.5.1.30]"
"K05906","prenylcysteine oxidase / farnesylcysteine lyase [EC:1.8.3.5 1.8.3.6]"
"K05907","adenylyl-sulfate reductase (glutathione) [EC:1.8.4.9]"
"K05913","2,4'-dihydroxyacetophenone dioxygenase [EC:1.13.11.41]"
"K05916","nitric oxide dioxygenase [EC:1.14.12.17]"
"K05917","sterol 14-demethylase [EC:1.14.13.70]"
"K05921","5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]"
"K05928","tocopherol O-methyltransferase [EC:2.1.1.95]"
"K05929","phosphoethanolamine N-methyltransferase [EC:2.1.1.103]"
"K05931","type I protein arginine methyltransferase [EC:2.1.1.319]"
"K05933","aminocyclopropanecarboxylate oxidase [EC:1.14.17.4]"
"K05934","precorrin-3B C17-methyltransferase [EC:2.1.1.131]"
"K05936","precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]"
"K05939","acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]"
"K05940","carnitine O-octanoyltransferase [EC:2.3.1.137]"
"K05946","N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]"
"K05947","mannosyl-3-phosphoglycerate synthase [EC:2.4.1.217]"
"K05948","fringe [EC:2.4.1.222]"
"K05954","protein farnesyltransferase subunit beta [EC:2.5.1.58]"
"K05955","protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.58 2.5.1.59]"
"K05957","L-glutamine:scyllo-inosose aminotransferase [EC:2.6.1.50]"
"K05964","holo-ACP synthase [EC:2.7.7.61]"
"K05966","triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]"
"K05973","poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]"
"K05979","2-phosphosulfolactate phosphatase [EC:3.1.3.71]"
"K05988","dextranase [EC:3.2.1.11]"
"K05992","[EC:3.2.1.133]"
"K06001","tryptophan synthase beta chain [EC:4.2.1.20]"
"K06002","pepsin A [EC:3.4.23.1]"
"K06009","yapsin 1/2 [EC:3.4.23.41]"
"K06013","STE24 endopeptidase [EC:3.4.24.84]"
"K06016","beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]"
